class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
,entropy,20.0,1,10,300,0.7808695795534751,0.8218988494829989,0.7692704043923557,0.9305078089960738,0.9570446735395189
,entropy,,1,10,300,0.7808695795534751,0.8218988494829989,0.7692704043923557,0.9305078089960738,0.9570446735395189
,entropy,10.0,1,10,300,0.7808433093554666,0.8171927062425839,0.7715332770210819,0.931442311999899,0.9553264604810997
,gini,10.0,1,2,300,0.7806700239419342,0.8254580485215397,0.7670937598986379,0.9296725678346821,0.993127147766323
,entropy,,2,5,200,0.7803833742742627,0.8239110006495226,0.7706746911624961,0.9291970420126905,0.9707903780068728
,entropy,20.0,2,5,200,0.7803833742742627,0.8239110006495226,0.7706746911624961,0.9291970420126905,0.9707903780068728
,entropy,10.0,2,5,100,0.7803399552359126,0.8218243953292609,0.7706746911624961,0.9269121925739949,0.9673539518900344
,entropy,20.0,1,2,200,0.7803307954986598,0.8265648302889778,0.7664926266145778,0.9285987420609594,1.0
,gini,20.0,1,5,100,0.7799408387873739,0.8261089587199468,0.7670180023228805,0.9263040111733783,0.9828178694158075
,gini,,1,5,100,0.7799408387873739,0.8261089587199468,0.7670180023228805,0.9263040111733783,0.9828178694158075
balanced,entropy,10.0,1,5,100,0.779926110206197,0.8196403212437484,0.7664926266145778,0.9295789169891784,0.9845360824742269
balanced,entropy,20.0,1,10,200,0.7798935241772104,0.8251538309199556,0.7667451518671031,0.9301399750814818,0.9553264604810997
balanced,entropy,,1,10,200,0.7798935241772104,0.8251538309199556,0.7667451518671031,0.9301399750814818,0.9553264604810997
balanced,entropy,,2,2,300,0.7798148856276625,0.8143670927407157,0.7712604265653047,0.9299122583525433,0.9759450171821306
balanced,entropy,20.0,2,2,300,0.7798148856276625,0.8143670927407157,0.7712604265653047,0.9299122583525433,0.9759450171821306
balanced,entropy,10.0,2,5,100,0.7796323903807388,0.8179667351270778,0.7685223313272094,0.9277841765942888,0.9621993127147767
,gini,10.0,1,5,300,0.7795205180706073,0.8240225786165803,0.76561371555274,0.9281323617688736,0.979381443298969
,entropy,20.0,2,2,200,0.7793881096845388,0.8207689447718485,0.767624062928941,0.9308322187957577,0.9759450171821306
,entropy,,2,2,200,0.7793881096845388,0.8207689447718485,0.767624062928941,0.9308322187957577,0.9759450171821306
balanced,entropy,,2,2,100,0.779091681046734,0.8172825605720343,0.7690080244958294,0.9309054048144312,0.9759450171821306
balanced,entropy,20.0,2,2,100,0.779091681046734,0.8172825605720343,0.7690080244958294,0.9309054048144312,0.9759450171821306
balanced,gini,,1,2,200,0.7785546977565416,0.8236179473434012,0.7659321437370219,0.930575560238481,1.0
balanced,gini,20.0,1,2,200,0.7785546977565416,0.8236179473434012,0.7659321437370219,0.930274262344098,1.0
,entropy,10.0,2,10,300,0.7782667740893948,0.8139998712885765,0.7699469433006019,0.931218601766644,0.9450171821305842
,entropy,,1,10,200,0.778256791497649,0.8193997094761188,0.767644388132193,0.9301117227485081,0.9604810996563574
,entropy,20.0,1,10,200,0.778256791497649,0.8193997094761188,0.767644388132193,0.9301117227485081,0.9604810996563574
,entropy,10.0,2,5,200,0.7782317966246901,0.8131023068798469,0.7698007074226586,0.92811821528616,0.9639175257731959
balanced,entropy,10.0,2,2,100,0.7781968318800297,0.817560603565469,0.7679618484496534,0.9285758605209262,0.9656357388316151
balanced,entropy,,1,10,300,0.7779371247397983,0.8237496795158042,0.7637148488368001,0.9303161838894335,0.9553264604810997
balanced,entropy,20.0,1,10,300,0.7779371247397983,0.8237496795158042,0.7637148488368001,0.9303161838894335,0.9553264604810997
,gini,10.0,2,5,100,0.7778861634328946,0.8223206882406666,0.7656592932812446,0.9263254271926279,0.9639175257731959
balanced,entropy,20.0,2,5,200,0.7778801523214037,0.8189802006753606,0.767603737725689,0.9299196639799231,0.9690721649484536
balanced,entropy,,2,5,200,0.7778801523214037,0.8189802006753606,0.767603737725689,0.9298718399722713,0.9690721649484536
,entropy,20.0,2,5,300,0.777791694907658,0.8198158384675202,0.7662401013620527,0.9296677168651317,0.9673539518900344
,entropy,,2,5,300,0.777791694907658,0.8198158384675202,0.7662401013620527,0.9296677168651317,0.9673539518900344
balanced,entropy,10.0,2,10,200,0.7777375064134759,0.8092841149787295,0.7706999436877485,0.930841422131785,0.9398625429553265
balanced,gini,10.0,1,5,200,0.7777292629386248,0.8249666089603329,0.7637351740400522,0.9271762551142526,0.9776632302405498
,entropy,,1,5,300,0.7776312104967957,0.8207351151337635,0.7659321437370218,0.931132548114506,0.9914089347079038
,entropy,20.0,1,5,300,0.7776312104967957,0.8207351151337635,0.7659321437370218,0.931132548114506,0.9914089347079038
,entropy,10.0,2,10,200,0.7775784869767202,0.8154308318413905,0.7668110547988596,0.9316412652693599,0.9450171821305842
balanced,entropy,,1,5,300,0.7774210922504002,0.8172197351648951,0.7648462851511633,0.9281577779974185,0.993127147766323
