set,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
184,0.8,1.0,0.1,6,200,1.0,2.0,1.0,0.7847767831071397,0.8102511422723527,0.7830877591243446,0.9321410695496931,0.9243986254295533
141,0.8,1.0,0.05,6,300,1.0,1.0,0.8,0.7846210400736433,0.8128742567741956,0.7826945412311266,0.9328494937661087,0.9261168384879725
133,0.8,1.0,0.05,6,200,1.0,1.0,0.8,0.7846210400736433,0.8128742567741956,0.7826945412311266,0.9324772700081038,0.9243986254295533
143,0.8,1.0,0.05,6,300,1.0,2.0,0.8,0.7846210400736433,0.8128742567741956,0.7826945412311266,0.9325759519859549,0.9243986254295533
62,0.8,0.0,0.1,3,200,1.0,1.0,1.0,0.7844693098620639,0.8083609042876778,0.7807202688910005,0.9265520468432691,0.9656357388316151
325,1.0,1.0,0.05,6,200,1.0,1.0,0.8,0.7844460934000991,0.8199677528334199,0.7774672685038538,0.9330097707340743,0.9243986254295533
243,1.0,0.0,0.1,3,100,0.0,2.0,0.8,0.7843530879756105,0.8067392629157336,0.7844067856262977,0.9313788239804015,0.9381443298969072
241,1.0,0.0,0.1,3,100,0.0,1.0,0.8,0.7842906566975939,0.8140261512768305,0.782124555661141,0.932549472889675,0.9415807560137457
336,1.0,1.0,0.05,6,300,1.0,2.0,1.0,0.7842806229560085,0.8080072037769742,0.7805326787034104,0.9314019208088693,0.9278350515463918
328,1.0,1.0,0.05,6,200,1.0,2.0,1.0,0.7842806229560085,0.8080072037769742,0.7805326787034104,0.9314019208088693,0.9278350515463918
319,1.0,1.0,0.05,6,100,1.0,2.0,0.8,0.7842646674073284,0.807657528585261,0.7835531270897124,0.9312420511452141,0.9226804123711341
115,0.8,1.0,0.05,3,300,0.0,2.0,0.8,0.784248979628819,0.8044495124192187,0.7844067856262977,0.9322948046820507,0.929553264604811
318,1.0,1.0,0.05,6,100,1.0,1.0,1.0,0.7842019116680521,0.8071590184486862,0.7805976137683455,0.9304589332568696,0.929553264604811
68,0.8,0.0,0.1,3,300,0.0,2.0,1.0,0.7839652555572301,0.8077288378687191,0.7837961496498081,0.924220499179216,0.9948453608247423
193,1.0,0.0,0.05,3,100,0.0,1.0,0.8,0.7838346071066244,0.7989026415061407,0.7858665047689437,0.9309338815337782,0.9072164948453608
183,0.8,1.0,0.1,6,200,1.0,2.0,0.8,0.7837591284192679,0.8049326698378106,0.7821894907260761,0.9322486590018869,0.9226804123711341
